country,value
Peru,-11.148812
Spain,-10.838947
United Kingdom,-9.7902404
Italy,-8.8711463
Tunisia,-8.6003103
Croatia,-8.3673782
Greece,-8.2477361
Mexico,-8.2394733
France,-8.1149071
Portugal,-7.5636164
Morocco,-7.1172322
Malta,-7.0011296
South Africa,-6.9596045
Iceland,-6.6491054
Austria,-6.5904104
Belgium,-6.28393
Chile,-5.7715017
Czech Republic,-5.6023038
Malaysia,-5.5877447
Slovenia,-5.5322078
Singapore,-5.3910214
Bulgaria,-4.1537028
Brazil,-4.0590483
United States,-3.4861396
Poland,-2.7017092
South Korea,-0.9577662
New Zealand,0.98102901
Turkey,1.75665076
Tanzania,2.00385827
Burkina Faso,2.0223847
China,2.3
Bangladesh,2.37552166
Vietnam,2.90583558
